CNTYVTD,Trump,Clinton,winner,population,registered,turnout,percentSpanishSurname
2450001,91,895,Clinton,3487,1930,1021,6.7
2450002,112,469,Clinton,1552,1138,608,9.3
2450003,57,1022,Clinton,4058,2305,1098,3.9
2450004,627,308,Trump,1965,1432,1007,4.2
2450005,435,492,Clinton,2582,1587,972,7
2450006,241,494,Clinton,2788,1377,757,9.9
2450007,322,433,Clinton,2531,1449,799,8.4
2450008,22,350,Clinton,1834,1011,381,3.5
2450009,2166,389,Trump,5001,3693,2670,7.3
2450010,63,260,Clinton,1741,843,338,13.9
2450011,32,169,Clinton,712,436,207,4.8
2450012,7,259,Clinton,828,571,271,1.6
2450013,8,220,Clinton,564,436,232,2.1
2450014,33,732,Clinton,3027,1594,778,10.1
2450015,56,621,Clinton,3148,1440,695,15.7
2450016,23,181,Clinton,1278,530,210,28.3
2450017,708,842,Clinton,3793,2532,1617,7.5
2450018,19,769,Clinton,2008,1463,797,1.2
2450019,53,761,Clinton,3044,1703,831,6.4
2450020,55,575,Clinton,2958,1381,647,6.9
2450021,91,67,Trump,7582,290,159,2.8
2450022,1029,1407,Clinton,6471,4225,2537,6
2450023,368,980,Clinton,2592,2130,1392,3.8
2450024,235,88,Trump,667,503,340,3.2
2450025,1069,269,Trump,3153,2033,1394,4.8
2450026,971,642,Trump,3472,2575,1697,7.5
2450027,394,445,Clinton,2380,1561,870,6.4
2450028,173,358,Clinton,1070,867,552,2.9
2450029,1011,138,Trump,2620,1729,1186,5.6
2450030,676,90,Trump,1669,1152,789,5.4
2450031,713,90,Trump,1605,1171,832,4.8
2450032,128,31,Trump,360,258,163,1.9
2450033,938,385,Trump,3928,2426,1382,10.7
2450034,34,1003,Clinton,2175,1796,1079,1.9
2450035,490,87,Trump,1152,911,591,6.7
2450036,801,178,Trump,2604,1553,1020,6
2450037,1228,317,Trump,3685,2464,1624,7.4
2450038,1207,221,Trump,3025,2071,1476,6.8
2450039,22,1127,Clinton,2791,2072,1179,1.4
2450040,1496,287,Trump,4468,2863,1879,7.5
2450041,63,34,Trump,309,187,105,8
2450042,1270,278,Trump,3468,2347,1604,8.5
2450043,1118,292,Trump,3734,2221,1470,9.2
2450044,175,198,Clinton,1338,721,391,20.1
2450045,177,439,Clinton,2796,1325,651,30
2450046,169,466,Clinton,3044,1300,675,24.9
2450047,198,506,Clinton,3305,1511,740,25.3
2450048,71,419,Clinton,3210,1101,511,35.5
2450049,29,180,Clinton,1838,511,221,39.9
2450050,149,1033,Clinton,4981,2537,1213,14
2450051,12,176,Clinton,921,478,198,11.7
2450052,7,253,Clinton,795,543,263,2.8
2450053,47,717,Clinton,2464,1557,787,7.1
2450054,8,250,Clinton,776,560,262,3.9
2450055,3,215,Clinton,602,483,225,3.5
2450056,1654,339,Trump,4178,3019,2085,8.2
2450057,9,466,Clinton,1250,976,487,1.4
2450058,26,10,Trump,42,54,36,3.7
2450059,12,608,Clinton,2638,1457,633,1.1
2450060,1554,364,Trump,5487,3211,1992,11.2
2450061,580,408,Trump,3525,1887,1035,17.1
2450062,1165,520,Trump,3784,2654,1802,5.5
2450063,40,766,Clinton,1952,1538,829,2.1
2450064,108,385,Clinton,1187,865,511,7.4
2450065,979,302,Trump,2252,1829,1339,4.2
2450066,996,237,Trump,2356,1762,1284,5.8
2450067,160,1175,Clinton,4452,2600,1374,3.6
2450068,800,604,Trump,3582,2392,1488,5.6
2450069,1499,394,Trump,5539,3212,2006,9.2
2450070,507,829,Clinton,3193,2528,1392,9
