CNTYVTD,metersFromMexico
4410105,328218
4410106,325742
4410107,327334
4410108,302988
4410109,299287
4410110,282138
4410201,334408
4410202,335342
4410203,336258
4410204,340065
4410205,331624
4410206,319918
4410207,314906
4410301,331690
4410302,330352
4410303,286123
4410304,327901
4410305,327937
4410306,325586
4410307,316875
4410308,297085
4410401,338259
4410402,338189
4410403,336631
4410404,333783
4410405,329760
4410406,329911
4410407,331431
4410408,319209
4410409,294827
4430001,0
4430002A,0
4430002B,27791
4430003,18678
4430004A,19566
4430004B,28213
4450101,339825
4450102,362912
4450201,363113
4450202,370937
4450301,361295
4450401,354838
4450402,339827
4470001,419871
4470002,397535
4473003,410542
4474005,433631
4474006,432342
4490001,701409
4490002,705406
4490003,699835
4490004,684274
4490005,710865
4490006,706643
4490007,700737
4490008,704002
4490009,703706
4490010,710659
4490011,690115
4490012,694913
4490014,695806
4490015,705729
4490016,700533
4490017,703488
4490018,694203
4490019,704440
4490020,702429
4510106,210290
4510107,207158
4510108,211688
4510112,208118
4510114,204372
4510124,207913
4510137,206242
4510144,207669
4510146,207765
4510213,181054
4510215,200278
4510225,192140
4510228,202291
4510230,199050
4510241,193296
4510304,208798
4510305,204781
4510306,211120
4510308,205544
4510319,200938
4510327,205258
4510348,212179
4510351,203678
4510358,191286
4510401,207338
4510402,204111
4510420,199200
4510421,200171
4510422,160516
4510423,173961
4510424,202133
4510434,205538
4510435,205568
4510436,205374
4530101,321004
4530102,330881
4530103,329729
4530104,328443
4530105,330140
4530106,331105
4530107,344540
4530108,330792
4530109,321059
4530110,329088
4530111,321859
4530112,331982
4530113,324118
4530114,329945
4530115,335936
4530116,320856
4530117,325143
4530118,323570
4530119,330949
4530120,326676
4530121,326453
4530122,323076
4530123,338783
4530124,317823
4530125,330775
4530126,319405
4530127,330796
4530128,328893
4530129,321709
4530130,323765
4530131,328696
4530132,321267
4530133,322914
4530134,328083
4530135,321403
4530136,336505
4530137,332956
4530138,338202
4530139,324983
4530140,327539
4530141,327005
4530142,322382
4530145,327898
4530146,336183
4530148,326167
4530149,322087
4530150,329311
4530151,325136
4530152,319453
4530153,327823
4530154,330568
4530156,322866
4530160,325379
4530161,331138
4530163,344385
4530164,326428
4530200,319755
4530202,319292
4530203,334145
4530205,319915
4530206,318609
4530207,317580
4530208,318178
4530209,327192
4530210,315568
4530211,328354
4530212,314843
292102,193877
292103,204874
610053,0
1133619,529593
4530213,309649
4530214,317035
4530215,324208
4530216,322612
4530217,324987
4530218,317609
4530219,326456
4530220,309651
4530221,306236
4530222,326827
4530223,324985
4530224,326798
4530225,323299
4530226,331429
4530227,332494
4530228,316077
4530229,323465
4530231,319250
4530232,296914
4530233,304090
4530234,302748
4530235,320933
4530236,320014
4530237,317844
4530238,320730
4530239,320975
4530240,319795
4530241,322026
4530242,322375
4530243,322484
4530244,301089
4530245,306804
4530246,314736
4530247,321148
4530248,324171
4530249,313779
4530250,315464
4530251,315204
4530252,323580
4530253,311492
4530254,316410
4530256,316803
4530258,328278
4530259,318674
4530260,325330
4530262,321823
4530263,318647
4530266,316735
4530267,316929
4530268,327958
4530273,318900
4530274,318864
4530275,319614
4530277,317978
4530301,306852
4530302,297833
4530303,296215
4530304,299298
4530305,316230
4530306,291902
4530307,313308
4530308,277916
4530309,301664
4530310,299363
4530311,317270
4530312,299623
4530313,317854
4530314,305085
4530315,299404
4530316,280093
4530317,309926
4530318,298049
4530319,294253
4530320,293897
4530321,313959
4530323,314708
4530324,290521
4530325,317486
4530326,312934
4530327,313517
4530328,315632
4530329,316037
4530330,297721
4530331,314151
4530332,312990
4530333,310023
4530334,311169
4530335,313401
4530336,312178
4530337,307719
4530338,301060
4530339,305392
4530340,313793
4530341,315673
4530342,309720
4530343,307395
4530344,307804
4530345,316457
4530346,289164
4530347,311273
4530349,302329
4530350,302743
4530351,305815
4530352,305642
4530354,306955
4530356,310196
4530357,309899
4530358,304374
4530359,294030
