PrecinctKey,color
Maricopa 0125,#aaf
Maricopa 0716,#f66
Maricopa 0058,#faa
Maricopa 0185,#66f
Maricopa 0390,#aaf
Maricopa 0511,#faa
Maricopa 0328,#faa
Maricopa 0319,#faa
Maricopa 0649,#faa
Maricopa 0013,#faa
Maricopa 0627,#aaf
Maricopa 0651,#faa
Maricopa 0531,#aaf
Maricopa 0559,#f66
Maricopa 0465,#faa
Maricopa 0151,#aaf
Maricopa 0119,#aaf
Maricopa 0647,#66f
Maricopa 0211,#aaf
Maricopa 0582,#faa
Maricopa 0652,#66f
Maricopa 0290,#66f
Maricopa 0267,#66f
Maricopa 0442,#aaf
Maricopa 0288,#66f
Maricopa 0212,#aaf
Maricopa 0098,#66f
Maricopa 0579,#faa
Maricopa 0330,#faa
Maricopa 0662,#faa
Maricopa 0311,#aaf
Maricopa 0719,#aaf
Maricopa 0659,#faa
Maricopa 0092,#faa
Maricopa 0547,#aaf
Maricopa 0618,#faa
Maricopa 0371,#aaf
Maricopa 0356,#66f
Maricopa 0507,#faa
Maricopa 0429,#f66
Maricopa 0608,#faa
Maricopa 0207,#faa
Maricopa 0278,#aaf
Maricopa 0443,#faa
Maricopa 0357,#faa
Maricopa 0331,#aaf
Maricopa 0077,#f66
Maricopa 0560,#faa
Maricopa 0501,#faa
Maricopa 0132,#66f
Maricopa 0021,#f66
Maricopa 0521,#faa
Maricopa 0033,#aaf
Maricopa 0073,#faa
Maricopa 0516,#aaf
Maricopa 0131,#aaf
Maricopa 0299,#66f
Maricopa 0327,#aaf
Maricopa 0019,#faa
Maricopa 0109,#faa
Maricopa 0270,#faa
Maricopa 0025,#f66
Maricopa 0075,#aaf
Maricopa 0722,#aaf
Maricopa 0401,#aaf
Maricopa 0238,#faa
Maricopa 0365,#aaf
Maricopa 0419,#faa
Maricopa 0696,#66f
Maricopa 0515,#aaf
Maricopa 0263,#faa
Maricopa 0546,#f66
Maricopa 0286,#66f
Maricopa 0673,#faa
Maricopa 0153,#faa
Maricopa 0391,#aaf
Maricopa 0094,#faa
Maricopa 0431,#aaf
Maricopa 0087,#faa
Maricopa 0411,#faa
Maricopa 0379,#aaf
Maricopa 0417,#f66
Maricopa 0676,#faa
Maricopa 0283,#faa
Maricopa 0124,#faa
Maricopa 0548,#faa
Maricopa 0128,#faa
Maricopa 0472,#66f
Maricopa 0692,#faa
Maricopa 0335,#faa
Maricopa 0303,#66f
Maricopa 0477,#aaf
Maricopa 0349,#faa
Maricopa 0316,#f66
Maricopa 0360,#faa
Maricopa 0097,#66f
Maricopa 0310,#faa
Maricopa 0361,#faa
Maricopa 0054,#faa
Maricopa 0593,#66f
Maricopa 0479,#f66
Maricopa 0586,#66f
Maricopa 0208,#aaf
Maricopa 0337,#aaf
Maricopa 0122,#66f
Maricopa 0451,#faa
Maricopa 0029,#faa
Maricopa 0606,#aaf
Maricopa 0408,#faa
Maricopa 0394,#faa
Maricopa 0552,#aaf
Maricopa 0179,#f66
Maricopa 0163,#66f
Maricopa 0344,#faa
Maricopa 0495,#faa
Maricopa 0385,#faa
Maricopa 0003,#66f
Maricopa 0487,#66f
Maricopa 0189,#66f
Maricopa 0423,#66f
Maricopa 0418,#faa
Maricopa 0079,#f66
Maricopa 0001,#faa
Maricopa 0604,#f66
Maricopa 0339,#aaf
Maricopa 0509,#faa
Maricopa 0498,#faa
Maricopa 0354,#f66
Maricopa 0347,#faa
Maricopa 0576,#faa
Maricopa 0194,#aaf
Maricopa 0112,#aaf
Maricopa 0101,#faa
Maricopa 0047,#aaf
Maricopa 0428,#faa
Maricopa 0005,#faa
Maricopa 0362,#faa
Maricopa 0186,#aaf
Maricopa 0601,#aaf
Maricopa 0686,#f66
Maricopa 0519,#faa
Maricopa 0251,#faa
Maricopa 0252,#aaf
Maricopa 0555,#aaf
Maricopa 0396,#66f
Maricopa 0654,#66f
Maricopa 0268,#faa
Maricopa 0113,#faa
Maricopa 0055,#faa
Maricopa 0633,#faa
Maricopa 0355,#faa
Maricopa 0241,#66f
Maricopa 0004,#faa
Maricopa 0375,#faa
Maricopa 0623,#faa
Maricopa 0219,#aaf
Maricopa 0118,#faa
Maricopa 0587,#aaf
Maricopa 0279,#faa
Maricopa 0596,#f66
Maricopa 0699,#faa
Maricopa 0223,#faa
Maricopa 0434,#f66
Maricopa 0695,#faa
Maricopa 0656,#66f
Maricopa 0617,#faa
Maricopa 0539,#aaf
Maricopa 0694,#aaf
Maricopa 0425,#f66
Maricopa 0484,#66f
Maricopa 0028,#f66
Maricopa 0612,#faa
Maricopa 0129,#faa
Maricopa 0532,#aaf
Maricopa 0110,#faa
Maricopa 0024,#faa
Maricopa 0554,#f66
Maricopa 0304,#66f
Maricopa 0639,#faa
Maricopa 0023,#faa
Maricopa 0007,#aaf
Maricopa 0387,#aaf
Maricopa 0104,#faa
Maricopa 0332,#aaf
Maricopa 0591,#66f
Maricopa 0414,#aaf
Maricopa 0550,#aaf
Maricopa 0489,#aaf
Maricopa 0551,#faa
Maricopa 0592,#66f
Maricopa 0374,#66f
Maricopa 0201,#66f
Maricopa 0180,#faa
Maricopa 0372,#f66
Maricopa 0665,#f66
Maricopa 0714,#66f
Maricopa 0117,#66f
Maricopa 0096,#aaf
Maricopa 0343,#f66
Maricopa 0420,#faa
Maricopa 0462,#66f
Maricopa 0713,#faa
Maricopa 0492,#faa
Maricopa 0164,#faa
Maricopa 0709,#aaf
Maricopa 0130,#66f
Maricopa 0378,#66f
Maricopa 0325,#faa
Maricopa 0040,#aaf
Maricopa 0082,#66f
Maricopa 0165,#f66
Maricopa 0625,#f66
Maricopa 0485,#faa
Maricopa 0345,#aaf
Maricopa 0506,#faa
Maricopa 0176,#f66
Maricopa 0314,#faa
Maricopa 0313,#aaf
Maricopa 0708,#faa
Maricopa 0678,#faa
Maricopa 0236,#f66
Maricopa 0187,#aaf
Maricopa 0567,#aaf
Maricopa 0315,#aaf
Maricopa 0590,#66f
Maricopa 0638,#f66
Maricopa 0711,#faa
Maricopa 0224,#faa
Maricopa 0705,#faa
Maricopa 0169,#aaf
Maricopa 0089,#aaf
Maricopa 0663,#66f
Maricopa 0440,#aaf
Maricopa 0084,#faa
Maricopa 0282,#faa
Maricopa 0088,#faa
Maricopa 0436,#faa
Maricopa 0542,#f66
Maricopa 0078,#aaf
Maricopa 0458,#faa
Maricopa 0447,#faa
Maricopa 0602,#aaf
Maricopa 0527,#66f
Maricopa 0063,#faa
Maricopa 0043,#faa
Maricopa 0139,#aaf
Maricopa 0083,#aaf
Maricopa 0575,#faa
Maricopa 0426,#faa
Maricopa 0121,#faa
Maricopa 0476,#66f
Maricopa 0563,#faa
Maricopa 0658,#66f
Maricopa 0680,#faa
Maricopa 0437,#faa
Maricopa 0674,#66f
Maricopa 0020,#faa
Maricopa 0432,#faa
Maricopa 0229,#aaf
Maricopa 0281,#66f
Maricopa 0715,#aaf
Maricopa 0538,#aaf
Maricopa 0352,#66f
Maricopa 0035,#66f
Maricopa 0672,#aaf
Maricopa 0677,#f66
Maricopa 0195,#faa
Maricopa 0474,#faa
Maricopa 0146,#f66
Maricopa 0240,#66f
Maricopa 0571,#66f
Maricopa 0504,#aaf
Maricopa 0100,#66f
Maricopa 0036,#faa
Maricopa 0178,#aaf
Maricopa 0392,#66f
Maricopa 0301,#aaf
Maricopa 0433,#faa
Maricopa 0065,#faa
Maricopa 0660,#66f
Maricopa 0500,#aaf
Maricopa 0611,#aaf
Maricopa 0155,#aaf
Maricopa 0272,#faa
Maricopa 0321,#faa
Maricopa 0505,#aaf
Maricopa 0490,#faa
Maricopa 0203,#f66
Maricopa 0564,#faa
Maricopa 0050,#faa
Maricopa 0336,#faa
Maricopa 0467,#aaf
Maricopa 0367,#66f
Maricopa 0103,#aaf
Maricopa 0173,#faa
Maricopa 0099,#faa
Maricopa 0322,#aaf
Maricopa 0172,#aaf
Maricopa 0242,#66f
Maricopa 0031,#faa
Maricopa 0366,#faa
Maricopa 0543,#faa
Maricopa 0613,#66f
Maricopa 0718,#faa
Maricopa 0687,#66f
Maricopa 0573,#faa
Maricopa 0256,#faa
Maricopa 0064,#faa
Maricopa 0557,#aaf
Maricopa 0369,#faa
Maricopa 0205,#faa
Maricopa 0232,#faa
Maricopa 0346,#aaf
Maricopa 0644,#aaf
Maricopa 0056,#f66
Maricopa 0397,#66f
Maricopa 0137,#faa
Maricopa 0022,#faa
Maricopa 0008,#aaf
Maricopa 0244,#faa
Maricopa 0599,#66f
Maricopa 0243,#faa
Maricopa 0184,#faa
Maricopa 0688,#aaf
Maricopa 0478,#66f
Maricopa 0062,#aaf
Maricopa 0264,#f66
Maricopa 0413,#66f
Maricopa 0480,#66f
Maricopa 0057,#66f
Maricopa 0707,#faa
Maricopa 0497,#f66
Maricopa 0048,#f66
Maricopa 0170,#aaf
Maricopa 0404,#aaf
Maricopa 0351,#faa
Maricopa 0298,#aaf
Maricopa 0081,#f66
Maricopa 0296,#faa
Maricopa 0457,#aaf
Maricopa 0341,#aaf
Maricopa 0456,#faa
Maricopa 0183,#faa
Maricopa 0027,#66f
Maricopa 0006,#f66
Maricopa 0475,#faa
Maricopa 0536,#faa
Maricopa 0009,#aaf
Maricopa 0152,#faa
Maricopa 0670,#aaf
Maricopa 0481,#aaf
